country	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
AL	2200	2400	2600	3000	3000	3100	3200	3300	3300	3400	3600	
AT	30800	32200	34000	35100	34300	35200	36800	37600	38000	38700	39400	40000
BE	29700	31000	32500	33100	32300	33500	34500	35100	35300	35900	36600	37400
BG	3100	3600	4300	5000	5000	5200	5600	5700	5800	5900	6300	6600
CH	43800	45500	46000	49000	50000	55900	63400	64700	63700	64700	73000	
CY	20400	21700	22900	24200	23100	23300	23200	22500	21000	20600	20800	21000
CZ	10700	12100	13400	15400	14100	14900	15600	15400	15000	14900	15800	16500
DE	28300	29500	31000	31700	30600	32100	33700	34300	35000	36100	37100	37900
DK	39300	41500	42700	44000	41900	43800	44500	45500	46100	47000	47800	48300
EA	26600	27800	29100	29600	28200	28900	29500	29500	29700	30100	30900	31500
EE	8300	10000	12100	12300	10600	11000	12500	13500	14300	15000	15400	15900
EL	18100	19800	21100	21800	21400	20300	18600	17300	16500	16300	16200	
ES	21300	22700	23900	24300	23300	23200	22900	22200	22000	22300	23200	24000
FI	31300	32800	35300	36500	33900	34900	36500	36900	37400	37600	38200	39000
FR	28100	29200	30400	31000	30000	30800	31500	31800	32100	32300	32800	33400
HR	8500	9300	10200	11200	10500	10500	10400	10300	10200	10100	10400	10900
HU	9000	9100	10100	10700	9400	9800	10100	10000	10300	10600	11100	11500
IE	40900	43300	44800	41700	37400	36700	37800	38300	39200	41900	55100	56800
IS	45400	44800	50000	33800	28900	31500	33000	34500	36000	39600	45700	
IT	25600	26500	27400	27600	26400	26800	27300	26700	26500	26700	27100	27600
LI									100	100	100	
LT	6300	7400	9000	10200	8500	9000	10300	11200	11800	12500	12900	13500
LU	64500	71500	77300	77900	74200	79200	83100	83000	85400	89500	91900	92900
LV	6100	7800	10300	11200	8800	8500	9800	10800	11300	11800	12300	12800
MK	2500	2700	3000	3300	3300	3500	3700	3700	3900	4100		
MT	12700	13300	14200	15000	14900	15900	16400	17100	18000	19700	21500	22700
NL	33400	35400	37400	38900	37400	38000	38500	38500	38900	39300	40000	40900
NO	53700	59100	62200	66400	57600	66200	72300	79000	77400	73200	67100	
PL	6500	7200	8200	9600	8300	9400	9900	10100	10300	10700	11200	11000
PT	15100	15800	16600	16900	16600	17000	16700	16000	16300	16600	17300	17900
RO	3800	4600	6000	6900	5900	6300	6600	6700	7200	7600	8100	8600
RS	2800	3300	4000	4600	4200	4100	4600	4400	4800	4700	4700	
SE	34700	36900	39000	38200	33300	39400	42900	44500	45400	44600	45600	46600
SI	14600	15700	17400	18800	17700	17700	18000	17500	17400	18100	18700	19300
SK	7300	8400	10400	12200	11800	12400	13100	13400	13700	14000	14500	14900
UK	33400	35100	36500	31800	27400	29200	29600	32400	32000	35000	39600	36100
