country	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
AT	82.1	82.2	82.8	83.1	83.3	83.2	83.5	83.8	83.6	83.8	84.0	83.7
BE	81.9	81.9	82.3	82.6	82.6	82.8	83.0	83.3	83.1	83.2	83.9	83.4
BG	76.2	76.2	76.3	76.6	77.0	77.4	77.4	77.8	77.9	78.6	78.0	78.2
CH	83.8	84.0	84.2	84.4	84.6	84.6	84.9	85.0	84.9	85.0	85.4	85.1
CY	81.8	80.8	82.0	82.1	82.9	83.5	83.9	83.1	83.4	85.0	84.7	83.7
CZ	79.1	79.2	79.9	80.2	80.5	80.5	80.9	81.1	81.2	81.3	82.0	81.6
DE	81.9	82.0	82.4	82.7	82.7	82.8	83.0	83.1	83.1	83.0	83.6	83.1
DK	80.2	80.5	80.7	80.6	81.0	81.1	81.4	81.9	82.1	82.4	82.8	82.7
EE	78.0	78.2	78.6	78.9	79.5	80.3	80.8	81.3	81.5	81.7	81.9	82.2
EL	82.2	82.5	82.7	82.5	83.0	83.3	83.3	83.6	83.4	84.0	84.1	83.7
ES	83.7	83.6	84.4	84.4	84.6	85.0	85.5	85.6	85.5	86.1	86.2	85.8
FI	82.5	82.5	83.1	83.1	83.3	83.5	83.5	83.8	83.7	84.1	84.1	84.4
FR	83.8	83.8	84.5	84.8	84.8	85.0	85.3	85.7	85.4	85.6	86.0	85.5
HR	78.8	78.8	79.3	79.2	79.7	79.7	79.9	80.4	80.6	81.0	81.0	80.5
HU	77.2	77.2	77.8	77.8	78.3	78.4	78.6	78.7	78.7	79.1	79.4	79.0
IE	81.1	81.3	81.7	82.1	82.4	82.7	83.1	83.0	83.1	83.1	83.5	83.4
IS	83.2	83.5	82.9	83.4	83.3	83.8	84.1	84.1	84.3	83.7	84.5	83.8
IT	83.7	83.6	84.1	84.2	84.2	84.3	84.7	84.8	84.8	85.2	85.6	84.9
LI	85.1	84.1	83.1	83.6	85.5	83.6	84.3	84.2	85.2	83.9	83.2	84.5
LT	77.7	77.4	77.1	77.2	77.6	78.7	78.9	79.3	79.6	79.6	80.1	79.7
LU	82.4	82.3	81.9	82.2	83.1	83.3	83.5	83.6	83.8	83.9	85.2	84.7
LV	76.0	76.3	76.1	76.2	77.5	77.7	78.0	78.8	78.9	78.9	79.4	79.5
ME		76.8	76.4	76.9	77.8	77.5	78.5	78.8	78.3	79.0	78.9	78.6
MK	75.8	75.9	76.2	75.9	76.5	76.7	77.2	77.2	76.9	77.5	77.5	77.4
MT	81.2	81.4	82.0	82.2	82.3	82.7	83.6	83.0	83.0	84.0	84.2	84.0
NL	81.5	81.7	82.0	82.5	82.5	82.9	83.0	83.1	83.0	83.2	83.5	83.2
NO	82.5	82.7	82.9	82.9	83.2	83.2	83.3	83.6	83.5	83.8	84.2	84.2
PL	79.2	79.3	79.7	79.8	80.0	80.1	80.7	81.1	81.1	81.2	81.7	81.6
PT	81.8	81.5	82.5	82.5	82.7	82.8	83.2	83.8	83.6	84.0	84.4	84.3
RO	75.1	75.4	76.1	76.8	77.5	77.7	77.7	78.2	78.1	78.7	78.7	78.7
RS	75.5	75.6	76.1	76.5	76.6	76.7	77.0	77.2	77.5	77.9	78.0	77.9
RU			73.2	73.9	74.2	74.7	74.9				76.7	
SE	82.8	82.9	83.1	83.1	83.3	83.5	83.6	83.8	83.6	83.8	84.2	84.1
SI	80.8	80.9	82.0	82.0	82.6	82.7	83.1	83.3	83.3	83.6	84.1	83.9
SK	78.0	78.1	78.4	78.4	79.0	79.1	79.3	79.8	79.9	80.1	80.5	80.2
TR						78.8	79.4	79.8	80.5	81.1	80.9	81.0
UK	81.1	81.3	81.6	81.8	81.8	82.4	82.6	83.0	82.8	82.9	83.2	82.8
