country	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
AL											76.3	76.2
AT	76.4	76.6	77.1	77.4	77.7	77.6	77.8	78.3	78.4	78.6	79.1	78.8
BE	76.0	76.2	76.6	77.1	76.9	77.3	77.5	78.0	77.8	78.1	78.8	78.7
BG	69.0	69.0	69.2	69.5	69.8	70.2	70.3	70.7	70.9	71.3	71.1	71.2
CH	78.6	78.7	79.2	79.5	79.8	79.9	80.3	80.5	80.6	80.7	81.1	80.8
CY	76.5	76.5	78.1	77.6	78.2	78.5	79.2	79.3	78.9	80.1	80.9	79.9
CZ	72.5	72.9	73.5	73.8	74.1	74.3	74.5	74.8	75.1	75.2	75.8	75.7
DE	76.5	76.7	77.2	77.4	77.6	77.8	78.0	77.9	78.1	78.1	78.7	78.3
DK	75.4	76.0	76.1	76.2	76.5	76.9	77.2	77.8	78.1	78.3	78.7	78.8
EE	66.7	67.6	67.6	67.5	68.9	70.0	70.9	71.4	71.4	72.8	72.4	73.2
EL	76.6	76.8	77.1	76.9	77.5	77.5	78.0	78.0	78.0	78.7	78.8	78.5
ES	77.0	77.0	77.8	77.9	78.3	78.8	79.2	79.5	79.5	80.2	80.4	80.1
FI	75.4	75.6	75.9	76.0	76.5	76.6	76.9	77.3	77.7	78.0	78.4	78.7
FR	76.7	76.7	77.3	77.6	77.8	78.0	78.2	78.7	78.7	79.0	79.5	79.2
HR	71.8	71.7	72.4	72.2	72.3	72.8	73.4	73.8	73.9	74.5	74.7	74.4
HU	68.7	68.7	69.2	69.4	70.0	70.3	70.7	71.2	71.6	72.2	72.3	72.3
IE	76.1	76.7	76.9	77.3	77.9	77.8	78.5	78.6	78.7	79.0	79.3	79.6
IS	78.9	79.6	79.5	79.6	80.0	79.8	79.8	80.7	81.6	80.5	81.3	81.2
IT	78.0	78.1	78.6	78.8	78.9	79.1	79.5	79.7	79.8	80.3	80.7	80.3
LI	78.6	77.4	78.9	79.1	80.0	79.5	79.5	79.5	79.7	80.7	81.0	80.9
LT	66.2	65.2	65.0	64.5	65.9	67.1	67.6	68.1	68.4	68.5	69.2	69.2
LU	76.0	76.7	76.8	76.7	78.1	78.1	77.9	78.5	79.1	79.8	79.4	80.0
LV	65.6	64.9	65.0	65.3	66.5	67.5	67.9	68.6	68.9	69.3	69.1	69.7
ME		71.3	71.4	71.9	72.6	72.9	73.6	73.3	74.2	74.1	74.1	74.4
MK	71.5	71.6	71.7	71.8	72.4	72.3	72.9	73.1	73.0	73.4	73.5	73.5
MT	77.4	77.3	77.0	77.5	77.1	77.9	79.3	78.6	78.6	79.6	79.8	79.7
NL	76.9	77.2	77.7	78.1	78.4	78.7	78.9	79.4	79.3	79.5	80.0	79.9
NO	77.6	77.8	78.2	78.3	78.4	78.7	79.0	79.1	79.5	79.8	80.1	80.5
PL	70.6	70.8	70.9	71.0	71.3	71.5	72.2	72.5	72.6	73.0	73.7	73.5
PT	75.0	74.9	75.5	75.9	76.2	76.5	76.8	77.3	77.3	77.6	78.0	78.1
RO	67.8	68.4	69.0	69.5	69.7	69.8	70.0	70.8	70.9	71.6	71.4	71.5
RS	70.0	70.2	70.8	70.9	71.3	71.4	71.8	72.0	72.3	72.6	72.8	72.8
RU			60.4	61.4	61.8	62.8	63.0				65.5	
SE	78.4	78.5	78.8	79.0	79.2	79.4	79.6	79.9	79.9	80.2	80.4	80.4
SI	73.5	73.9	74.5	74.6	75.5	75.9	76.4	76.8	77.1	77.2	78.2	77.8
SK	70.3	70.2	70.4	70.6	70.9	71.4	71.8	72.3	72.5	72.9	73.3	73.1
TR						73.3	74.2	74.4	74.8	75.4	75.4	75.4
UK	76.8	77.0	77.3	77.6	77.7	78.3	78.6	79.0	79.1	79.2	79.5	79.2
