unit,incgrp,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC_POP,TOTAL,TOTAL,F,AT	14.9 	15.5 	14.6 	14.8 b	13.4 	12.0 	11.7 	13.3 	14.3 	14.9 	14.8 	: 
PC_POP,TOTAL,TOTAL,F,BE	3.6 	3.6 	3.5 	4.0 	3.8 	4.0 	1.9 	1.4 	1.8 	1.8 	1.3 	: 
PC_POP,TOTAL,TOTAL,F,BG	: 	48.7 	51.7 	48.5 	46.9 	47.5 	48.1 	45.1 	44.9 	43.6 	41.9 	: 
PC_POP,TOTAL,TOTAL,F,CH	: 	: 	7.1 	7.7 	7.4 	5.4 	6.0 	5.6 	6.3 	6.3 b	6.1 	: 
PC_POP,TOTAL,TOTAL,F,CY	2.0 	1.7 	1.5 	3.3 b	2.7 	3.4 	2.8 	2.8 	2.2 	1.9 	1.3 	: 
PC_POP,TOTAL,TOTAL,F,CZ	34.1 	34.3 	33.3 	30.3 	26.9 	22.4 	21.2 	21.1 	21.6 	20.6 	19.5 	: 
PC_POP,TOTAL,TOTAL,F,DE	6.2 	7.4 	6.8 	6.9 	6.8 	6.7 	6.5 	6.7 	6.6 	6.3 	6.7 	: 
PC_POP,TOTAL,TOTAL,F,DK	7.0 	6.7 	7.1 	7.1 	7.4 	6.6 	7.0 	7.1 	7.9 	8.3 	7.8 	: 
PC_POP,TOTAL,TOTAL,F,EA18	12.7 	12.5 	12.5 	12.2 	11.8 	11.7 	11.2 	11.5 	11.6 	11.6 	11.8 	: 
PC_POP,TOTAL,TOTAL,F,EA19	13.2 	13.0 	12.9 	12.6 	12.1 	12.1 	11.3 	11.6 	11.8 	11.7 	11.9 	: 
PC_POP,TOTAL,TOTAL,F,EE	46.7 	46.4 	44.0 	41.9 	41.4 	40.3 	14.6 	14.5 	21.4 	14.3 b	13.2 	: 
PC_POP,TOTAL,TOTAL,F,EL	29.4 	29.2 	28.9 	26.5 	24.6 	24.8 	25.4 	26.3 	27.0 	27.0 	27.6 	: 
PC_POP,TOTAL,TOTAL,F,ES	8.4 b	6.3 	5.7 	5.3 	4.9 	4.8 	6.4 b	5.6 	5.0 	5.3 	5.3 	: 
PC_POP,TOTAL,TOTAL,F,EU27	19.4 e	19.0 e	18.7 	18.1 	17.5 	17.2 	16.5 	16.5 	16.6 	16.3 	16.3 	: 
PC_POP,TOTAL,TOTAL,F,EU28	: 	: 	: 	: 	: 	17.5 	16.7 	16.8 	16.8 	16.5 	16.5 	: 
PC_POP,TOTAL,TOTAL,F,FI	6.6 	5.7 	5.9 	5.5 	5.8 	5.9 	6.4 	5.4 	6.6 	6.6 	6.6 	6.4 
PC_POP,TOTAL,TOTAL,F,FR	9.0 	7.7 	9.8 	9.1 	9.1 	8.7 	7.5 	7.8 	7.3 	7.1 	7.2 	: 
PC_POP,TOTAL,TOTAL,F,HR	: 	: 	: 	: 	: 	43.4 	44.1 	44.5 	43.1 	42.2 	41.7 	: 
PC_POP,TOTAL,TOTAL,F,HU	48.8 	50.5 	46.7 	47.6 	46.4 	46.8 	45.1 	44.9 	43.2 	41.2 	40.8 	40.3 
PC_POP,TOTAL,TOTAL,F,IE	5.5 	6.5 	5.1 	4.6 	3.4 	3.5 	3.2 	3.3 	2.7 	3.6 	3.6 	: 
PC_POP,TOTAL,TOTAL,F,IS	8.3 	9.2 	11.0 	6.4 	7.1 	7.2 	7.7 	7.8 	9.1 	7.7 	8.4 	: 
PC_POP,TOTAL,TOTAL,F,IT	23.7 	24.2 	23.7 	23.7 	23.0 	23.8 	24.0 	25.6 	26.5 	26.8 	27.3 	: 
PC_POP,TOTAL,TOTAL,F,LT	52.2 	52.6 	52.3 	48.9 	48.0 	45.1 	19.1 b	18.7 	28.3 b	28.3 	25.7 	: 
